FL_DATE,sum(DEP_DELAY),sum(CARRIER_DELAY),sum(WEATHER_DELAY),sum(NAS_DELAY),sum(SECURITY_DELAY),sum(LATE_AIRCRAFT_DELAY)
2016-03-12,201358.0,92818.0,2394.0,55318.0,628.0,89446.0
2018-05-13,276536.0,117532.0,6940.0,85800.0,1006.0,148892.0
2018-11-18,200702.0,123570.0,1908.0,46926.0,228.0,99522.0
2018-05-10,582446.0,155518.0,32414.0,265664.0,764.0,255316.0
2016-03-05,121318.0,59820.0,2158.0,62760.0,234.0,54414.0
2018-07-14,267140.0,128218.0,15808.0,63522.0,1466.0,126040.0
2018-10-16,177310.0,102902.0,3192.0,73806.0,1632.0,115296.0
2016-03-14,305426.0,96854.0,7828.0,102450.0,992.0,134906.0
2018-07-23,1136226.0,292072.0,65170.0,298792.0,626.0,531556.0
2016-01-01,175910.0,91964.0,890.0,25992.0,248.0,65466.0
2018-07-11,304198.0,139934.0,23806.0,77274.0,290.0,160366.0
2018-07-24,861250.0,227206.0,38672.0,240676.0,3072.0,384656.0
2016-03-31,346104.0,115394.0,9606.0,120858.0,242.0,155344.0
2018-10-09,543726.0,140460.0,86238.0,152576.0,232.0,295692.0
2016-12-25,169572.0,77098.0,22716.0,41378.0,712.0,77668.0
2018-05-19,314794.0,116538.0,14312.0,100260.0,710.0,131950.0
2018-05-28,279248.0,145044.0,18946.0,90674.0,512.0,157742.0
2016-01-09,159486.0,77306.0,10596.0,39640.0,344.0,64936.0
2016-12-26,595356.0,178194.0,21952.0,143600.0,594.0,263846.0
2018-07-26,547218.0,199466.0,24062.0,113224.0,666.0,265554.0
2018-11-10,158934.0,100328.0,6178.0,34036.0,548.0,79666.0
2018-05-17,619664.0,194120.0,18894.0,148568.0,480.0,300134.0
2018-07-03,288180.0,102510.0,37364.0,101764.0,286.0,138258.0
2016-03-22,113158.0,72454.0,2118.0,34462.0,900.0,58366.0
2016-12-20,429004.0,144406.0,3240.0,60806.0,576.0,186792.0
2018-07-05,407176.0,133420.0,42022.0,157520.0,592.0,208370.0
2018-10-06,196522.0,102472.0,10960.0,83190.0,628.0,112302.0
2016-01-11,244016.0,103574.0,19696.0,70310.0,270.0,109922.0
2018-11-24,284014.0,142806.0,18434.0,66886.0,280.0,143678.0
2018-11-09,757454.0,200992.0,24316.0,231684.0,626.0,374242.0
2018-07-17,857220.0,207710.0,80262.0,262236.0,716.0,357988.0
2016-12-07,161748.0,93588.0,4926.0,69792.0,166.0,76342.0
2016-12-12,350570.0,146246.0,8748.0,90612.0,480.0,146492.0
